用户1:你看过《三体》吗?,,,,
用户2:看过啊，这是我认为中国近代最受欢迎的科幻小说之一了，豆瓣上这本小说的评分高达9.4分。,"三体,标签,科幻","三体,标签,小说","三体,信息,豆瓣评分9.4分",
用户1:真是相见恨晚，你知道三体出版的具体年份吗?,,,,
用户2:记得呀，《三体》早在2012年1月1日就出版了，只是那时候我没想过刘慈欣的科幻小说能有这么好看。,"三体,出版时间,2012年1月1日","三体,作者,刘慈欣",,
用户1:说起大刘，我真的很喜欢他。他的很多作品都让人耳目一新。,"刘慈欣,更多昵称,大刘",,,
"用户2:他确实很了不起，作为亚洲第一个荣获""雨果奖""长篇小说奖的作家。他的作品《流浪地球》甚至还被拍成了科幻电影。","刘慈欣,简介,中国当代科幻小说的主要代表作家，被誉为中国科幻文学的领军人物。中国科普作家协会会员，中国作家协会会员，山西省作家协会会员，2013年中国作家富豪榜上榜作家。自上世纪九十年代开始发表科幻作品，曾于1999年至2006年连续八年获得中国科幻银河奖，作品因宏伟大气、想象绚丽而获得广泛赞誉。他的科幻小说成功地将极端的空灵和厚重的现实结合起来，同时注重表现科学的内涵和美感，兼具人文的思考与关怀，努力创造出一种具有中国特色的科幻文学样式。出生于1963年6月，祖籍河南，山西阳泉长大，1985年毕业于华北水利水电学院（现华北水利水电大学）水利工程系，后于山西娘子关电厂任计算机工程师。刘慈欣长期关注科幻并尝试写作，他的风格多次变换，直到90年代中期才逐渐定型，并开始赢得读者的喝彩。1999年发表第一篇作品──短篇小说《鲸歌》，同年首次以短篇小说《带上她的眼睛》获得中国科幻银河奖一等奖；2000年《流浪地球》获中国科幻银河奖特等奖。刘慈欣迄今为止最重要的作品“三体三部曲”（原名“地球往事三部曲”）更是备受读者与媒体的赞誉，被普遍认为是中国科幻文学的里程碑之作，将中国科幻推上了世界的高度。","刘慈欣,作品,流浪地球","流浪地球,标签,科幻","流浪地球,标签,小说"
用户1:作为一个资深科幻迷，这些大师的作品真是令人神往，说起来你还知道哪些有名的科幻小说家吗？,,,,
用户2:说起这个，我的第一印象就是二十世纪三大科幻小说家之一的阿瑟・克拉克了。,"阿瑟・克拉克,简介,亚瑟・查理斯・克拉克（1917－2008）是英国作家、发明家，与艾萨克・阿西莫夫、罗伯特・海因莱茵并称为二十世纪三大科幻小说家。其科幻作品多以科学为依据，小说里的许多预测都已成现实。尤其是他的卫星通讯的描写，与实际发展惊人的一致，地球同步卫星轨道因此命名为“克拉克轨道”。作品包括《童年的终结》（1953）、《月尘飘落》（1961）、《来自天穹的声音》（1965）、《帝国大地》（1976）和《2001》等。还与人合作拍摄富有创新的科学幻想片《2001年太空漫游》。",,,
用户1:我不太熟悉国外的科幻作家，为什么这么推崇他呢？,,,,
用户2:阿瑟・克拉克可以说是那个年代科幻领域的传奇人物了，他的《太空漫游》系列简直可以被视作当时的科幻小说天花板。,"阿瑟・克拉克,作品,太空漫游","太空漫游,标签,科幻","太空漫游,标签,小说",
用户1:哈哈，那回头我一定要阅读一下。除了他的《太空漫游》系列之外，还有其他推荐的作品吗？,,,,
用户2:那真是太多了，《神的九十亿个名字》、《遥远地球之歌》都是他评价非常高的作品。,"阿瑟・克拉克,作品,神的九十亿个名字","阿瑟・克拉克,作品,遥远地球之歌",,
&三体,,,,
用户1：你看过金庸的小说吗？,,,,
用户2：看过啊，金庸先生的可以算是武侠小说的泰斗级人物。,"金庸,标签,武侠","金庸,标签,小说",,
用户1：那是，可以算是老前辈了。,,,,
用户2：说起来我可是从小看着他的小说长大的。金庸的文笔实在是太好了，不愧是剑桥大学的博士。,"金庸,简介,金庸,原名查良镛,生于1924年3月10日 Louis Cha Leung Yung浙江海宁人 华人最知名的武侠小说作家、及新闻学家、企业家、政治评论家、社会活动家，中国作家协会名誉副主席，《中华人民共和国香港特别行政区基本法》主要起草人之一、香港最高荣衔“大紫荆勋章” 获得者、华人作家首富。英国剑桥大学历史博士. 他在1948年移居香港，是香港明报创办人，并着有“飞雪连天射白鹿，笑书神侠倚碧鸳”等14部武侠小说.博士金庸小说深受欢迎，不少文坛才子和读者都提笔撰写书评，形成「金学」研究的风潮。被誉为武侠小说作家的“泰斗”，更有“金迷”们尊称其为“金大侠”或“查大侠”，亦被喻为“香港四大才子”之一。 金庸亦是英国剑桥大学历史博士,香港新闻文艺界的杰出创业者及评论家，以及著名的社会活动家。",,,
用户1：没错，他的小说总是能够引人入胜。说起来，你最喜欢金庸的哪本小说呢？,,,,
用户2：金庸先生的每部作品几乎都是经典，不过我最喜欢他写的《天龙八部》。,"金庸,标签,经典","金庸,作品,天龙八部",,
用户1：这确实是金庸武侠的巅峰之作。里面的人物塑造都十分成功。,,,,
用户2：那是自然，这本书在豆瓣上评分高达9.1分，参与评分的人数更是达到了116755人。,"天龙八部,信息,豆瓣评分9.1分","天龙八部,信息,豆瓣评分人数116755人",,
用户1：单论武侠小说这块，中国恐怕无人能出其左右了吧。,"金庸,标签,武侠","金庸,标签,小说",,
用户2：倒也不见得，在我看来，古龙大师也是一位十分出众的武侠小说泰斗。,"古龙,标签,武侠","古龙,标签,小说",,
用户1：我不太了解古龙，他有什么能耳熟能详的作品吗。,,,,
用户2：《三少爷的剑》、《陆小凤传奇》、《小李飞刀》等等都是这位大师的作品。,"古龙,作品,三少爷的剑","古龙,作品,陆小凤传奇","古龙,作品,小李飞刀",
用户1：原来这些经典都出自这位大师，涨知识了。,,,,
用户2：没错，这些大师都是为中国武侠小说做出巨大贡献的人，古龙、金庸、梁羽生更是并称为中国武侠小说三大宗师。,"古龙,简介,古龙，原名熊耀华，著名武侠小说家，新派武侠小说泰斗和宗师。他在1969年创作了一部先有剧本后有小说的武林奇书《萧十一郎》，赢得读者的广泛赞赏。古龙与金庸、梁羽生并称为中国武侠小说三大宗师。他的武侠小说创作理念是“求新求变”，不受传统拘束，将中外经典F铸一炉，他为“武侠美学”理念的形成与“武侠文化”的推广作出了巨大贡献。古龙为人豪气干云，侠骨盖世，才华惊人，他以丰富无比的创作力，留下了70多部精彩绝伦、风行天下的武侠巨作，影响巨大，开创了近代武侠小说新纪元，将武侠文学推上了一个新的高峰。","梁羽生,标签,武侠","梁羽生,标签,小说",
&金庸,,,,
